Unnamed: 0,review,item,sale_info,complaints,review_cleaned,sentiment
112,Доброго дня отримав данний перехідник при підключенні зображення на екрані зявилося але кожні 30-40 секунд пропадає сигнал.,Перехідник,,При підключенні зображення на екрані періодично пропадає сигнал протягом 30-40 секунд,добрий отримати данний перехідник підключення зображення екран зявилося секунда пропадати сигнал,Negative
113,"Мийку та змішувач доставили вчасно,але гарантійний талон на мийку зовсім не заповнений,а на змішувач взагалі гарантійного талона немає,відсутні також платіжні чеки на ці вироби
",Мийка та змішувач,,Незаповнений гарантійний талон на мийку та відсутність платіжних чеків на обидва вироби,мийка змішувач доставити вчасно гарантійний талон мийка заповнений змішувач взагалі гарантійний талон відсутній платіжний чек виріб,Negative
114,"Добрий день. Придбав ваш кабель. Скиньте, будь ласка, на пошту файли, котрі є на диску з кабелем.
",кабель,,,добрий придбати кабель скинути пошта файл котрий диск кабель,Neutral
115,"повний шлак. взагалі не чистить язик
просто вібрує вам язик і на тому все
чайна ложка куди ефективніше справляється з тою задачею і нічого додаткового купляти не треба
",Пристрій для чищення язика,,Не чистить язик,повний шлак взагалі чистити язик вібрувати язик чайний ложка ефективніше справлятися задача додатковий купляти,Negative
116,"Купляли цей попкорн навесні, було дуже смачно.
Купили тиждень тому - і повне розчарування.
Пересолений та багато мотлоху.
Більше купляти не будемо.
",попкорн,,Пересолений та багато мотлоху.,купляти попкорн навесні смачно купити тиждень повний розчарування пересолений мотлох купляти,Negative
117,"Роутер хороший, вайфай тягне через перекриття та товсту стіну.
За 2 місяці користування ніяких проблем.",Роутер,,Вайфай тягне через перекриття та товсту стіну,роутер хороший вайфай тягнути перекриття товстий стіна місяць користування ніякий проблема,Positive
118,"Хороші олівці, м'які і не блищать на папері. Магазин чудовий — уточнили деталі і відправили товар швидко, незважаючи на святкові дні. Дуже миле пакування з побажаннями.
",Олівці,,,хороший олівець блищати папір магазин чудовий уточнити деталь відправити товар швидко незважаючи святковий день милий пакування побажання,Positive
119,"гарний корпус ,добре продуваеться, влазять всі кулера
Щоб передня кришка легче знімалась треба змастити салидолом затискачі,тоді взагалі легко знімаеться
",,,,гарний корпус продуваеться влазять кулера передній кришка легче знімалась змастити салидолом затискачі взагалі легко знімаеться,Positive
120,"Підходить не до всіх типів шкіри, ролик не прокручується, потрібно допомагати руками ( відповідно забруднюється ). Брак серйозний !!!
",Крем для масажу,,Брак,підходити тип шкіра ролик прокручуватися допомагати рука відповідно забруднюється брак серйозний,Negative
121,"на цю стрічку у ванній кімнаті приклеїв стерилізатор для зубних щіток, через тиждень все відвалилось ...Добре хоч щітки цілі залишились...
",Стерилізатор для зубних щіток,,Стерилізатор для зубних щіток відвалився через тиждень після встановлення,стрічка ванний кімната приклеїв стерилізатор зубний щітка тиждень відвалитися щітки ціль залишитися,Negative
122,"Підійде для домашнього використання . Взяла один раз в спорт зал весь обшарпався... Дуже лущиться верхній шар (фіолетовий)
",,,Верхній шар фіолетового кольору сильно лущиться,підійти домашній використання взяти спорт зал обшарпатися лущитися верхній шар фіолетовий,Negative
123,"Отримав. Підключив. Все працює. Сканер виявив помилки у системі запалювання.
Діагностика допомогла усунути несправність. Автомобіль - КІА Ріо 3.",Сканер,,,отримати підключити працювати сканер виявити помилка система запалювання діагностика допомогти усунути несправність автомобіль кіа ріо,Positive
124,"Аромат так собі, в толпі вас не впізнають, стійкість на рівні 300 грн за банку. Ну це на мою думку. Виробник Іспанія.",Парфюм,,Стійкість слабка,аромат толпі впізнавати стійкість рівень грн банк думка виробник іспанія,Neutral
125,"Подарувала своєму хлопцю на новий рік, поки мінусів не виявили, йому подобається , зручно , що довжина регулюється коліщатком і не потрібно міняти насадки. За свою ціну
",Тример,,,подарувати свій хлопець новий мінус виявити подобатися зручно довжина регулюватися коліщатком міняти насадка ціна,Positive
126,"Нажаль мені не підійшла, почала свербіти голова, при коренях жирніють волосся, в мене фарбоване волосся та пористе, середньої густоти.
",,,,нажаль підійти свербіти голова корінь жирніють волосся фарбований волосся пористе середній густота,Negative
127,"Забрала вчора, виявився неробочим. Батерейок в комплекті не було, можливості перевірити на місці не було.
",Неробочий товар,,Не було батерейок у комплекті,забрати вчора виявитися неробочий батерейок комплект можливість перевірити місце,Negative
128,"Будь ласка не вводіть покупців в оману, на версії прошивки 1.5.1 у всьому європейському регіоні функція круїз контролю не доступна
скоріш за все це стосується всіх самокатів найнбот :)",Самокат,,Функція круїз-контролю недоступна,вводіть покупець омана версія прошивка європейський регіон функція круїз контроль доступний скоріше стосуватися самокат найнбот,Negative
129,"Дуже задоволена. Дякую за швидке і гарне обслуговування. Все як завжди відмінно!
Айкос дуже стильний, зручний. Працює добре, заряд тримає довго.
",Айкос,,,задоволений швидкий гарний обслуговування відмінно айкос стильний зручний працювати заряд тримати,Positive
130,"Вибирав по відгуках та вказаних в характеристиках розмірах. Мені підійшло ідеально. Комплектація була повною. Збирається та встановлюється дуже легко.
",Набір для збирання меблів,,,вибирати відгук вказаний характеристика розмір підійти ідеально комплектація повний збиратися встановлюватися легко,Positive
131,"Міцний шнур, що працює. Коли купував, то боявся, що будуть якісь проблеми(вже не раз попадався на те, що конектори не тримаються нормально), але тут поки все як треба.
",Шнур,,,міцний шнур працювати купувати боятися якийсь попадатися конектор триматися нормально,Positive
132,"На 1-й тиждень блохи зникли, на 2-й з'явилися знову. Інформація в описі про термін захисту 2 місяці не відповідає дійсності.",Спрей від блох,,"Термін захисту не відповідає дійсності, скарга на появу блох після закінчення двомісячного терміну",тиждень блоха зникнути інформація опис термін захист місяць відповідати дійсність,Negative
133,"Коли покупав годинник, був трохи деформований корпус. Але на роботу годинника це суттєво не вливає
",Годинник,,Корпус годинника деформований,покупати годинник деформований корпус робота годинник суттєво вливати,Neutral
134,"Дуже сподобалася, мавпочка з брязкальцем і вушка добре шарудять, гарний розмір, зручно тримати маленькою ручкою",Іграшка,,,сподобатися мавпочка брязкальцем вушка шарудіти гарний розмір зручно тримати маленький ручка,Positive
135,"В порівнянні з револьвером цієї ж фірми постріл досить слабкий. Постійно застрягає патрон. Стріляти потрібно з ""бубном"" тому що постріл буде зовсім слабким
",Револьвер,,"Патрон застрягає, постріл надто слабкий",порівняння револьвер фірма постріл слабкий постійно застрягати патрон стріляти бубон постріл слабкий,Negative
136,"Кабель дійсно якісний, обмотка та коннектори зроблені на совість, в роз'ємах не люфтять, з'єднання стабільне. Ноут з ним теж можна заряджати - перевірено.
",Кабель,,,кабель якісний обмотка коннектори зроблений совість люфтять стабільний ноут заряджати перевірити,Positive
137,"При збитті протеїну, надто багато бульбашок і ставати вдвічі більше в своїй формі.",Протеїн,,"Занадто багато пухирів при взбиванні протеїну в шейкері, збільшується вдвічі об'єм.",збиття протеїн надто бульбашка ставати вдвічі форма,Negative
138,"Через 2 тижні щоденного використання (нічого важкого,тільки склянка кави 250мл) практично перестав тримаються на колясці.. кріплення ослабло.",Сумка,,Неякісна,через тиждень щоденний використування нічого важкий тільки склянка кава практично перестав триматися коляска кріплення ослабло,Negative
139,"зазвичай беремо для мами L (TENA або SENI), тому без вагань замовила аж 3 упаковки (була акційна ціна), але ... облом. виявилися малі",Підгузники,Була акційна ціна,"Товар виявився меншого розміру, ніж очікувалося",брати мама l tena seni вагання замовити упаковка акційний ціна облом виявитися малий,Negative
140,"Wi-Fi працює добре, по мережі інтернет не роздає. До цього старий роутер роздавав по дротової мережі добре
",Роутер,,Погана робота мережі інтернет по Wi-Fi,wi fi працювати мережа інтернет роздавати старий роутер роздавати дротової мережа,Negative
141,"Вчора забрав, одразу не виявив проблеми, хочу повернути і взяти щось інше на заміну, хрипить лівий навушник, не сильно але неподобається. Як замінити чи повернути? ",Навушники,,Хрипить лівий навушник,вчора забрати одразу виявити проблема хотіти повернути взяти заміна хрипіти лівий навушник сильно неподобається замінити повернути,Negative
142,"Дуже виражений неприємний навіть токсичний запах, я взагалі не впевнена що це безпечно для дитини. Деякі малюнки видно ще до розмальовування, дитині одразу не цікаво малювати
",Книга для розмальовування,,Неприємний запах та погана якість малюнків,виражений неприємний токсичний запах взагалі впевнений безпечно дитина деякий малюнок видно розмальовування дитина одразу цікаво малювати,Negative
143,"Все працює супер. Світиться класно. Про те, що пишуть що мишка світиться при виключеному ноутбуці неправда, все виключажться разом з ноутбуком.
",Мишка для ноутбука,,,працювати супер світитися класно писати мишка світитися виключений ноутбук неправда виключажться разом ноутбук,Positive
144,"мягка але одночасно формована подушка. цікаві незвичні почуття. спиться добре і пройшли болі в потилиці.
",Подушка,,,мягка одночасно формований подушка цікавий незвичний почуття спатися пройти біль потилиця,Positive
145,"За свої кошти часи нормальні , але маленькі на руці , після року використання часи перестали працювати
",Часи,Дешеві ,Часи перестали працювати після року використання,кошти час нормальний маленький рука використання час перестати працювати,Neutral
146,"якість просто жах, я розумію шо за таку ціну чекати шось не логічно АЛЕ такої жахливої якості я не бачив ніколи
",,Дешевий,Неякісний,якість жах розуміти шо такий ціна чекати шось логічно такий жахливий якість бачити,Negative
147,"Брокколі одне із перших пюре, які спробувала моя донечка. пюре Gerber брокколі їй дуже сподобалось, смачне та має приємну консистенцію. Рекомендую.
",Пюре,,,брокколі одне перший пюре спробувати донечка пюре gerber брокколі сподобатися смачний приємний консистенція рекомендувати,Positive
148,"Через тиждень почалися проблем з кнопкою , не перемикались треки , не відповідало на дзвінок . А вже до 1го місяця використання просто почали глючити .... Вимикання музики , відконечування",Навушники,,Проблеми з кнопкою,тиждень початися проблема кнопка перемикались трек відповідати дзвінок місяць використання почати глючити вимикання музика відконечування,Negative
149,"Візуально до вподоби, як виглядає. Хід клавиш нормальний. Для мене трохи нахилу мало. Залишив би, якби працювало підсвічування клавиш. ((",Клавіатура,,,візуально вподоба виглядати хід клавиш нормальний нахил залишити якби працювати підсвічування клавиш,Neutral
150,Брал такой и сейчас буду заказивать здесь еще себе .Все хорошо действует.За свою ціну норм,,Дешевий,,брал такой и сейчас заказивать здесь еще хорошо действует ціна норма,Positive
151,"Поставив драйвера, навушники підключає, звук є, але не працює мікрофон. Пробував і airpods і xiaomi
",Драйвери,,Не працює мікрофон підключених навушників різних виробників,поставити драйвер навушник підключати звук працювати мікрофон пробувати airpods xiaomi,Negative
152,"Користуюсь близько тижня. Ефекту поки не помічаю, після нанесення шкіра м'яка та зволожена. Якихось кардинальних змін не помітила",Крем для шкіри,,,користуватися тиждень ефект помічати нанесення шкіра зволожений якийсь кардинальний зміна помітити,Neutral
153,"Викрутки на вигляд не погані,але при зусиллі повідламувались кінчики у хрестових і закінчення під ключ не з'єднане з стержнем викрутки, так що крутити ключем немає сенсу... Підійдуть для делікатних робіт....
",Викрутки,,"Кінчики у хрестових повідламувалися, закінчення під ключ не з'єднане зі стержнем викрутки",викрутка вигляд поганий зусилля повідламувались кінчик хрестовий закінчення ключ стержень викрутка крутити ключ сенс підійти делікатний робота,Neutral
154,"Чаї виробника смачні, але не всі. Дивно, що один і той самий чай в різних пакуваннях має різний смак. Краще вибирати подарункові набори - значно смачніші
",Чай,,Різний смак чаю в залежності від пакування,чаї виробника смачний дивно самий чай різний пакування різний смак вибирати подарунковий набір значно смачніший,Neutral
155,"Прийшло все з царапками дуже багато не глибоких, також є і глибокі царапини невідомого походження, упаковано і доставлено добре. ",,,Царапини,прийти царапками глибокий глибокий царапини невідомий походження упакувати доставити,Negative
156,"Купували в офіс за акційною ціною. Готується в кавомашині Saeco. Смак ненасичений, аромат готової кави майже відсутній, пінка зникає практично відразу. За таку ціну можна знайти дійсно чудову смачну каву.
",Кавомашина,Акція,"Смак ненасичений, аромат відсутній, пінка швидко зникає",купувати офіс акційний ціна готуватися кавомашина saeco смак ненасичений аромат готовий кава відсутній пінка зникати практично відразу такий ціна знайти чудовий смачний кава,Negative
157,"Машинка класна, взяв уже другу для батьків. Користуюся першою уже 1,5роки, без нарікань. Довгий шнур, легка та міцна як на мене насадка.",Машинка,,,машинка класний взяти уж другий батьки користуватися перший уж нарікання довгий шнур легкий міцний насадка,Positive
158,"Смачна. Не перший раз замовляємо і дуже задоволені. Малюк їсть з радістю.
Ціна влаштовує. З зовнішнім виглядом упаковки та терміном реалізації проблем не було.
",Їжа для дитини,,,смачний замовляти задоволений малюк їсти радість ціна влаштовувати зовнішній вигляд упаковка термін реалізація проблема,Positive
159,Машинка дійсно класна працює без перебоїв! За 4-години безперервної роботи майже не нагрілась! Шкода що комплектація мала.,Машинка,,,машинка класний працювати перебій безперервний робота нагрітися шкода комплектація мати,Positive
160,"Замерз у морозильнику (-8).
Сильно і довго тхне ""хімією"".
Залишає розводи, бруд з лобового не відмиває навіть в теплу погоду.
З іншими, навіть дешевшими такого не було.",Омивач,,"Замерзає у морозильнику, сильно пахне хімією, залишає розводи та бруд на лобовому склі",замерз морозильник сильно тхнути хімія залишати розводи бруд лобового відмивати теплий погода інший дешевший такий,Negative
161,"Також прийшла не робоча рулетка,ручка на ножівці не виглядає надійною. Такі дрібниці псують загальне воаження.
",Рулетка,,"Також прийшла не робоча рулетка, ручка на ножівці не виглядає надійною. Такі дрібниці псують загальне враження.",прийти робочий рулетка ручка ножівка виглядати надійний дрібниця псувати загальний воаження,Negative
162,"не сподобалося. краще вже gimoka. варю в гейзерній кавоварці - від звареної кави враження таке, що вона розбавлена водою.
",Кава,,"Кава, зварена в гейзерній кавоварці, здається розбавленою водою",сподобатися gimoka варити гейзерний кавоварка зварений кава враження розбавлений вода,Negative
163,"Брав для резинок на дверях, ефекту нуль! Як замерзало при -2-3, так і замерзає, а може і більше. Не вартує купляти",Резинки на двері,,Ефект нуль не працює при низьких температурах,брати резинка двері ефект нуль замерзало замерзати вартувати купляти,Negative
164,"Вважаю ціна не відповідає якості звуку.
Моторолла верв бадс 300 грають краще, звукоізоляція краще, баси теж краще.",Наушники,Дорого,"Звукова якість не відповідає ціні, погана звукоізоляція, слабкі баси",вважати ціна відповідати якість звук моторолла верв бадс грати звукоізоляція бас,Negative
165,"Люблю цю туш,хороша якість. Але запакована вона має бути нормально. До користувача її не мають відкривати. А на ній навіть наклейка не належне,не те,що захисна плівка .
",Туш,,"Туш не була правильно запакована, не мала наклейки та захисної плівки.",любити туш хороший якість запакований нормально користувач мати відкривати наклейка належний захисний плівка,Neutral
166,"Чохол так собі, пошитий добре, але спати на ньому не дуже приємно, ширяє. А це й не дивно, адже це хімія.",Чохол,,"Незручно спати в чехлі через те, що він парить.",чохол пошитий спати приємно ширяти дивно хімія,Negative
167,"Шукала скляний чайник з категорії малогабаритних в лікарню, та в подальшому для подорожей. Покупкою задоволена. Пишуть в відгуках, що кришка не до кінця відкривається, в мене з цим все ОК
",Скляний чайник малогабаритний,,Кришка не до кінця відкривається,шукати скляний чайник категорія малогабаритний лікарня подальшому подорож покупка задоволений писати відгук кришка кінець відкриватися ок,Positive
168,"цікавий смак, новий для мене бренд Гевалія, почитав що один із лідерів у скандинавських країнах а там точно роблять якісно
рекомендую
дякую Розетка за швидку доставку!
",Кава,,,цікавий смак новий бренд гевалія почитати лідер скандинавський країна точно робити якісно рекомендувати розетка швидкий доставка,Positive
169,"Спочатку все було добре, але згодом волосся стало набагато сухішим, неслухняним і у спрея з’явився запах як у дешевого старого мила… ",Спрей для волосся,,Скарга на зміну структури та запаху спрею для волосся,згодом волосся стати набагато сухіший неслухняний спрея запах дешевий старий мило,Negative
170,"Не беріть цей товар. Інтрукції нема, всі кнопки англійською. Дзвонив на гарячу лінію, у відповідь: «Ми вам відправимо інструкцію у пдф форматі». Зіпсований настрій, витрачений час.
",,,Не отримав інструкції для товару після дзвінка на гарячу лінію.,брати товар інтрукції нема кнопка англійська дзвонив гарячий лінія відповідь відправити інструкція пдф формат зіпсований настрій витрачений,Negative
171,"продали бракований товар. Діагностували три тижні. Поветати коштів або обмінювати не хочуть. Не рекомендую даний магазин
",,,Бракований товар,продати бракований товар діагностувати тиждень поветати коштів обмінювати хотіти рекомендувати даний магазин,Negative
172,"Клавіатура чудова, дуже якісна механіка. Приємна підсвітка.
Але я дуже розчарований відсутністю оголошеного подарунку у вигляді маніпулятора.
",клавіатура,,відсутність оголошеного подарунку у вигляді маніпулятора,клавіатура чудовий якісний механіка приємний підсвітка розчарований відсутність оголошений подарунку вигляд маніпулятор,Neutral
173,"Гарна якість за ці гроші , чудово підійшов під руль для ігор , відрізав лишнє , та готово ! Продавець швидко його відправив !
",Руль для ігор,,,гарний якість гроші чудово підійти руль гра відрізати лишній готово продавець швидко відправити,Positive
174,"користуємось близько 2-х тижнів. Коли ночі стали прохолодніші, син почав мерзнути під ковдрою (з підковдрою). Доводиться накривати зверху ще флісовою ковдрою.
Брали на зиму, сподівались буде теплішою",Ковдра,,"Скарга на те, що ковдра недостатньо тепла",користуємось тиждень ніч стати прохолодніший син почати мерзнути ковдра підковдра доводитися накривати зверху флісовий ковдра брати зима сподіватися тепліший,Negative
175,Часто пропадає вай-фай. Доводиться перезагружати пристрій.В мене двохповерховий будинок -покриття вай-фай на сто відсотків все не покриває. На дворі є сигнал макс до 15 метрів,Роутер,,"Часто пропадає вай-фай, доводиться перезагружати пристрій. Покриття вай-фай не покриває 100% двоповерхового будинку, на дворі є сигнал макс до 15 метрів.",пропадати вай фай доводитися перезагружати пристрій двохповерховий будинок вай фай сто покривати двір сигнал макс метр,Negative
176,"Хороший набір, для нашої дитини просто супер. Вньому є зручна корзинка для зберігання, 2 досточки , 2 ножечка і безліч овочів.",Іграшка,,,хороший набір дитина супер вньому зручний корзинка зберігання досточки ножечка безліч овоч,Positive
177,"З вигляду клава чудова. Проте є дуже суттєві недоліки.
Вузькі клавіші.не дуже зручно тримати руку під час ігор. Треба дуже звикати
На лакованих поверхнях клава просто ковзає.
Задротам не рекомендую
",Клавіатура,,"Вузькі клавіші, клавіша ковзає на лакованих поверхня",вигляд клава чудовий суттєвий недолік вузький зручно тримати рука гра звикати лакований поверхня клава ковзати задротам рекомендувати,Negative
178,"якісний сенсор - фліки, наводка усе чудово
гарна градієнтна підсвітка
легка вага, легкий кабель-паракорд - одразу не потрібен підтримувач для дроту за свою ціну для шутерів топова миша! 5/5",миша,,,якісний сенсор фліки наводка чудово гарний градієнтний підсвітка легкий вага легкий кабель паракорд одразу потрібний підтримувач дріт ціна шутер топовий миша,Positive
179,"Ось так виглядає крісло через рік, я не дуже важкий 60 кг (якщо це важливо
Але перші пів року було прям дуже зручно",Крісло,,"Перші пів року було зручно, але потім стало менш зручним",виглядати крісло важкий кг важливо перший пів прям зручно,Neutral
180,"На жаль поставляється без батарей - перевірити відразу не можливо.
Колір має бути БІЛИЙ, а надіслано ЧОРНИЙ.
Але , як на мене, чорний навіть кращий.
",,,Колір товару не відповідає замовленню,жаль поставлятися батарея перевірити відразу можливо колір білий надіслати чорний чорний кращий,Negative
181,"дуже сподобались, кращі як на фото , якість шикарна, як б'ють по ногам навіть не чути))) рекомендую!
",Куртки,,,сподобатися кращий фото якість шикарний ногам чути рекомендувати,Positive
182,"Не рекомендую брати даний набір краще вже за ті гроші замовити великий сет суші або купити квітів
",,,Погана якість,рекомендувати брати даний набір гроші замовити великий сет суші купити квіти,Negative
183,"Якість жахлива. Купував окремо простирадло, окремо підковдру, кольора різні при однаковому коді і моделі. Після 2 строк жахливе закошлачення, неможливо спати. Не рекомендую.",Постільна білизна,,Погана якість,якість жахливий купувати окремо простирадло окремо підковдра кольора різний однаковий код модель строк жахливий закошлачення неможливо спати рекомендувати,Negative
184,"Як на мене середній, як пил, пересипав у банку, вся кухня у білому порошку, Дуже солодкий, з п'ю водою. З молоком неможливо пити",Кава,,Погана якість,середній пил пересипати банк кухня білий порошок солодкий вода молоко неможливо пити,Negative
185,"Спочатку все обличчя почервоніло і так тррвало декілька годин. Потім з'явився пухир на всьому носі. Залишився опік, який не сходив 2 тижні",,,"Опис поганого досвіду: обличчя червоніло, з'явився пухир на носі, залишився опік на шкірі протягом 2 тижнів",обличчя почервоніти тррвало година пухир нос залишитися опік сходити тиждень,Negative
186,"Досить приємна кава - зерна цілі, добре обсмажені. Оптимальна суміш робусти та арабіки, насичений смак, гарний аромат, дуже приємний післясмак. Всім раджу каву Jacobs !!!
",кава,,,приємний кава зерна ціль обсмажений оптимальний суміш робусти арабіки насичений смак гарний аромат приємний післясмак радити кава jacobs,Positive
187,"Добрий вечір! Замовляла тут навушники, в білому кольорі - достойно виглядають і мають хороший звук. Також доволі швидко заряджаються і довгий час тримають заряд.
",Навушники,,,добрий вечір замовляти навушник білий колір достойно виглядати мати хороший звук доволі швидко заряджаються довгий тримати заряд,Positive
188,"Рабоча штука. Коври стірав мотори мив і сковородки і витяжки чистив. Своє одробила ше і в оренду думаю здать.
",,,Негативний досвід через пошкодження речей.,рабоча штука коври стірав мотор мив сковородки витяжка чистити одробити ше оренда думати здати,Positive
189,"Забрав мишку зразу в перший день начала люфтіть права кнопка миші а так вроді нормально
",Мишка,,Погана якість,забрати мишка зразу начала люфтіть право кнопка миш врода нормально,Neutral
190,"Прошу зв'язатися зі мною для урегулювання мого питання повернення коштів (оплата онлайн) або виконання замовлення!
",,,Сервіс,просити урегулювання питання повернення коштів оплата онлайн виконання замовлення,Negative
191,"Якість хороша, алергії немає, ні чим не лірші ха звичайні памрерс чи хагіс, але нам протікають, більше не буду брати
",Підгузники,,протікають,якість хороший алергія лірші ха звичайний памрерс хагіс протікати брати,Neutral
192,"Щойно забрав каву. Ще не куштував. Дуже не сподобалось що упаковка не вакуумна. Оновлю оцінку якщо сподобається на смак.
",Кава,,Упаковка не вакуумна,щойно забрати кава куштувати сподобатися упаковка вакуумний оновлю оцінка сподобатися смак,Negative
193,"Повівся на те що будут ножиці в комплекті як на відео розпаковки та в коментарях людей і купив. По факту їх немає... . Повернути товар не можна....
",,,Невідповідність з описом на сайті,повестися будут ножиці комплект відео розпаковка коментар людина купити факт повернути товар,Negative
194,"Як на мене нормальний інструмент, для дому те, що потрібно. Шкода, що настадок в комплекті не має.
",Інструмент для дому,,Насадок немає,нормальний інструмент дім шкода настадок комплект,Positive
195,"Купила подушку MirSon Bambuk 60?60, за 3 місяці вона збилась. Купила цей наповнювач, щоб подушка стала вищою і товстішою.",Подушка,,Подушка збилась за 3 місяці,купити подушка mirson bambuk місяць збитися купити наповнювач подушка стати вищий товстіший,Negative
196,"пропила майже всю баночку, не відчуваю по собі якихось помітних змін. ну хіба шо не така виснаженість тепер..
",,,Недостатня кількість продукту в упаковці,пропити баночка відчувати якийсь помітний зміна шо виснаженість,Neutral
197,"Після загрузки включаються нулі, і після 5 секунд гасне і не вимірює вагу , не можу звязати, не ревгує , батерейки міняв на дорогі і дешеві!
Чекаю реакції від компанії",Ваги,,"Не реагує на вагу, не вимірює вагу, не можу звязати з вагами",загрузка включатися нулі секунда гаснути вимірювати вага могти звязати ревгує батерейки міняти дорогий дешевий чекати реакція компанія,Negative
198,"Який клас енергозбереження? Порадьте економну духовку, оскільки на квартиру роздається 5.5 квт на все. Дякую.",Енергозберігаюча духовка,,,клас енергозбереження порадити економний духовка оскільки квартира роздається квт,Neutral
199,"З коробки виходить 8 чашок кави, що небагато за свої гроші. Адже всередині 8 капсул з сухими вершками і 8 - з меленою кавою.",Кава в капсулах,Дешева,Недостатня кількість капсул з кавою у порівнянні зі сухими вершками,коробка виходити чашка кава гроші всередині капсула сухий вершок мелений кава,Negative
200,"Сильно виражений вівсяний смак. Більше не замовлю, адже смак кави взагалі не відчувається з цим молоком. Найкращі в лінійці - кокосове та мигдальне.
",Вівсяне молоко,,Скарга на сильно виражений вівсяний смак та відсутність смаку кави,сильно виражений вівсяний смак замовити смак кава взагалі відчуватися молоко найкращий лінійка кокосовий мигдальний,Negative
201,"При поломці пістолету вийшла помилка, Розетки поклали інший гарантійний від іншого пістолету і в результаті неможливо було відремонтувати пристрій
",Пістолет,,Питання з гарантійними деталями при ремонті пістолету,поломка пістолету вийти помилка розетка покласти гарантійний інший пістолету результат неможливо відремонтувати пристрій,Negative
202,"Звук хороший, трохи погано налаштовані високі частоти(на максимальній гучності шиплять), а в цілому все на тверду 4! Як гарнітура не дуже - співрозмовник погано чує вас.",Гарнітура,,Трохи погано налаштовані високі частоти на максимальній гучності шиплять,звук хороший погано налаштований високий максимальний гучність шипіти ціле тверду гарнітура співрозмовник погано чути,Neutral
204,"Зручно контролювати тиск по манометру і подовжувач стався у нагоді коли треба було підкачати колеса на гіроборді.
",Гіроборд,,,зручно контролювати тиск манометр подовжувач статися нагода підкачати колесо гіроборд,Positive
205,"заказ прийшов дуже швидко. Ждала з ненерпінням, і розчарувалась... кришка зверху потерта , пакети з комплектуючими розірвані . Неприємно, мягко кажучи ...
",,,"Кришка зверху потерта, пакети з комплектуючими розірвані",заказ прийти швидко ждати ненерпінням розчаруватися кришка зверху потертий пакет комплектуючий розірваний неприємно мягко кажучи,Negative
206,"Кабель як кабель, купив два, поки що використав один - гут. Винт працює.
Довжина мабуть 30см, так що якщо до верхніх карманів АТХ може не дотягнутися.",Кабель,,,кабель кабель купити використати гут винт працювати довжина мабуть см верхній карман атх дотягнутися,Neutral
207,"Через певний час, почав несамовито шипіти мікрофон, переустановлював драйвера на самі нові, не допомагало, повернув на обмін, чекаю що буде далі
",Мікрофон,,"Несамовите шипіння мікрофона, несправність",певний почати несамовито шипіти мікрофон переустановлював драйвер новий допомагати повернути обмін чекати,Negative
208,"Дезодорант приїхав у відділення без упаковки. Відкритий. Це засіб індивідуальної гігієни й така ситуація не припустима.
",Дезодорант,,Товар приїхав без упаковки та відкритий,дезодорант приїхати відділення упаковка відкритий засіб індивідуальний гігієна ситуація припустимий,Negative
209,"Картридж дійсно підходить під глечик Аквафор. Але якщо В100-6 нам на сім'ю вистачало на 4 тижні, то цього картриджу вистачає на 2 тижні. Невигідно виходить...",Картридж для глечика Аквафор,,Недовге використування ,картридж підходити глечик аквафор вистачати тиждень картриджу вистачати тиждень невигідно виходити,Negative
210,"якщо чесно то дуже спорний варіант бо і комплект не повний так і вага цієї миші дозволяе використовувати її як зброю.
",Миша,,Погана якість,чесно спорний варіант комплект повний вага миш дозволяе використовувати зброя,Negative
211,"Папки не з тонкого картону, нормальні. Вагалась чи брати 50 шт, оскільки на сайті на папці написано ""папка для бумаг"" , а отримала з написом ""папка для паперів"" . Супер.",Папки,,Невідповідність з описом на сайті,папка тонкий картон нормальний вагалась брати шт оскільки сайт папці написати папка бумаг отримати напис папка папір супер,Positive
212,"Провід землі у плоского кабелю повинен бути розташований між нулем і фазою для меншого нагрівання і безпеки.
",Кабель,,Не відповідає вимогам безпеки,провід земля плоский кабель повинний розташований нуль фаза менший нагрівання безпека,Negative
213,"Аромат приємний, ніжний. І квітковий, але і свіжий. На літо підходить. Купляла тестер, ще й по акційній ціні, так що покупкою задоволена.
",Парфюм,Акція,,аромат приємний ніжний квітковий свіжий літо підходити купляти тестер акційний ціна покупка задоволений,Positive
214,"Чудовий універсальний кабель, можна зарядити практично що завгодно від чого завгодно. Проте перехідника lighning вистачило лише на три місяці, зовсім перестав заряджати. За три місяці ставлю три зірки…
",Кабель,,Перехідник Lightning перестав заряджати через 3 місяці,чудовий універсальний кабель зарядити практично завгодно завгодно перехідника lighning вистачити місяць перестати заряджати місяць ставити зірка,Neutral
215,"Хороший тример, стриже добре. Нерве волосся, гостріножі,удобно найбільша насадка має 21мм.
Серед недоліків батареї хватає на 2 максімум стрижки, і коли включена на зарядці то неможна стригти.голосно робить",Тример,,"Зарядка недоступна під час стрижки, батарея швидко розряджається",хороший тример стриже нерве волосся гостріножі удобно найбільший насадка мм серед недолік батарея хватати максімум стрижка включений зарядка неможний робити,Positive
