,review,item,sale_info,complaints
132,"На 1-й тиждень блохи зникли, на 2-й з'явилися знову. Інформація в описі про термін захисту 2 місяці не відповідає дійсності.
",Спрей від блох,None,"Термін захисту не відповідає дійсності, скарга на появу блох після закінчення двомісячного терміну"
133,"Коли покупав годинник, був трохи деформований корпус. Але на роботу годинника це суттєво не вливає
",Годинник,None,Корпус годинника деформований
134,"Очень понравилась, обезьянка с погремушкой и ушки хорошо шуршат, хороший размер, удобно держать маленькой ручкой",Игрушка в виде обезьянки с погремушкой и ушками,None,None
135,"В порівнянні з револьвером цієї ж фірми постріл досить слабкий. Постійно застрягає патрон. Стріляти потрібно з ""бубном"" тому що постріл буде зовсім слабким
",Револьвер цієї ж фірми,None,"Патрон застрягає, постріл надто слабкий"
136,"Кабель дійсно якісний, обмотка та коннектори зроблені на совість, в роз'ємах не люфтять, з'єднання стабільне. Ноут з ним теж можна заряджати - перевірено.
",Кабель,None,None
137,"При взбитие протеина ,слишком много пузырей и становиться в два раза больше свой форме .вообщем ,что то не понятное происходит при взбалтывании протеина в шейкере",Протеїн для взбивання,None,"Занадто багато пухирів при взбиванні протеїну в шейкері, збільшується вдвічі об'єм."
138,"Спустя 2 недели ежедневного использования (ничего тяжелого,только стакан кофе 250мл) практически перестал держатся на коляске.. крепление ослабло..",Чашка для кофе,None,Креплення чашки до коляски стало слабким
139,"зазвичай беремо для мами L (TENA або SENI), тому без вагань замовила аж 3 упаковки (була акційна ціна), але ... облом. виявилися малі
",Підгузники L (TENA або SENI),Була акційна ціна,"Товар виявився меншого розміру, ніж очікувалося"
140,"Wi-Fi працює добре, по мережі інтернет не роздає. До цього старий роутер роздавав по дротової мережі добре
",Роутер,None,Погана робота мережі інтернет по Wi-Fi
141,"Вчора забрав, одразу не виявив проблеми, хочу повернути і взяти щось інше на заміну, хрипить лівий навушник, не сильно але неподобається. Як замінити чи повернути? ",Навушники,None,Хрипить лівий навушник
142,"Дуже виражений неприємний навіть токсичний запах, я взагалі не впевнена що це безпечно для дитини. Деякі малюнки видно ще до розмальовування, дитині одразу не цікаво малювати
",Книга для розмальовування,None,Неприємний запах та погана якість малюнків
143,"Все працює супер. Світиться класно. Про те, що пишуть що мишка світиться при виключеному ноутбуці неправда, все виключажться разом з ноутбуком.
",Мишка для ноутбука,None,Неправда про світло миші при виключеному ноутбуці
144,"мягка але одночасно формована подушка. цікаві незвичні почуття. спиться добре і пройшли болі в потилиці.
",М'яка але одночасно формована подушка,None,"Скарг немає, навпаки, подушка позитивно вплинула на сон і болі в потилиці"
145,"За свої кошти часи нормальні , але маленькі на руці , після року використання часи перестали працювати
",Часи,None,Часи перестали працювати після року використання
146,"якість просто жах, я розумію шо за таку ціну чекати шось не логічно АЛЕ такої жахливої якості я не бачив ніколи
","товар/послуга не вказана, але з контексту видно, що мова йде про товар",None,"якість просто жах, не бачив такої жахливої якості ніколи"
147,"Брокколі одне із перших пюре, які спробувала моя донечка. пюре Gerber брокколі їй дуже сподобалось, смачне та має приємну консистенцію. Рекомендую.
",Пюре Gerber з брокколі,None,None
148,"Через тиждень почалися проблем з кнопкою , не перемикались треки , не відповідало на дзвінок . А вже до 1го місяця використання просто почали глючити .... Вимикання музики , відконечування
",Головка для навушників,None,"Проблеми з кнопкою, не перемикались треки, не відповідало на дзвінок, вимикання музики, відконечування"
149,"Визуально нравится, как выглядит. Ход клавишь нормальный. Для меня чуть наклона не достаточно.Оставил бы , если бы работала подсветка клавишь.Придется возвращать. ((",Клавіатура,Немає акції чи знижки для цього товару.,Клієнт не залишив скарг або негативних коментарів.
150,Брал такой и сейчас буду заказивать здесь еще себе .Все хорошо действует.За свою ціну норм,Здесь беру товары,None,None
151,"Поставив драйвера, навушники підключає, звук є, але не працює мікрофон. Пробував і airpods і xiaomi
",Навушники,Немає акції чи знижки,Не працює мікрофон підключених навушників різних виробників
152,"Пользуюсь около недели. Эффекта пока не замечаю, после нанесения кожа мягкая и увлажнённая.Каких-то кардинальных изменений не заметила",Крем для кожи,None,Не замечено кардинальных изменений после использования около недели
153,"Викрутки на вигляд не погані,але при зусиллі повідламувались кінчики у хрестових і закінчення під ключ не з'єднане з стержнем викрутки, так що крутити ключем немає сенсу... Підійдуть для делікатних робіт....
",Викрутки,None,"Кінчики у хрестових повідламувалися, закінчення під ключ не з'єднане зі стержнем викрутки"
154,"Чаї виробника смачні, але не всі. Дивно, що один і той самий чай в різних пакуваннях має різний смак. Краще вибирати подарункові набори - значно смачніші
",Чаї виробника,None,Різний смак чаю в залежності від пакування
155,"Прийшло все з царапками дуже багато не глибоких, також є і глибокі царапини невідомого походження, упаковано і доставлено добре. ",Книга,None,"Царапини, невідомого походження"
156,"Купували в офіс за акційною ціною. Готується в кавомашині Saeco. Смак ненасичений, аромат готової кави майже відсутній, пінка зникає практично відразу. За таку ціну можна знайти дійсно чудову смачну каву.
",Кавомашина Saeco,Купували в офіс за акційною ціною,"Смак ненасичений, аромат відсутній, пінка швидко зникає"
157,"Машинка класна, взяв уже другу для батьків. Користуюся першою уже 1,5роки, без нарікань. Довгий шнур, легка та міцна як на мене насадка.
",Машинка,None,None
158,"Смачна. Не перший раз замовляємо і дуже задоволені. Малюк їсть з радістю.
Ціна влаштовує. З зовнішнім виглядом упаковки та терміном реалізації проблем не було.
",Смачна їжа для дитини,None,None
159,"Машинка дійсно класна працює без перебоїв! За 4-години безперервної роботи майже не нагрілась! Шкода що комплектація мала.
",Машинка,None,None
160,"Замерз у морозильнику (-8).
Сильно і довго тхне ""хімією"".
Залишає розводи, бруд з лобового не відмиває навіть в теплу погоду.
З іншими, навіть дешевшими такого не було.
",холодильник,None,"Замерзає у морозильнику, сильно пахне хімією, залишає розводи та бруд на лобовому склі"
161,"Також прийшла не робоча рулетка,ручка на ножівці не виглядає надійною. Такі дрібниці псують загальне воаження.
",Ножівки,None,"Також прийшла не робоча рулетка, ручка на ножівці не виглядає надійною. Такі дрібниці псують загальне враження."
162,"не сподобалося. краще вже gimoka. варю в гейзерній кавоварці - від звареної кави враження таке, що вона розбавлена водою.
",Кава гейзерної кавоварки,None,"Кава, зварена в гейзерній кавоварці, здається розбавленою водою"
163,"Брав для резинок на дверях, ефекту нуль! Як замерзало при -2-3, так і замерзає, а може і більше. Не вартує купляти
",Резинки на двері,None,Ефект нуль не працює при низьких температурах
164,"Вважаю ціна не відповідає якості звуку.
Моторолла верв бадс 300 грають краще, звукоізоляція краще, баси теж краще.
",Наушники,None,"Звукова якість не відповідає ціні, погана звукоізоляція, слабкі баси"
165,"Люблю цю туш,хороша якість. Але запакована вона має бути нормально. До користувача її не мають відкривати. А на ній навіть наклейка не належне,не те,що захисна плівка .
",Туш,None,"Туш не була правильно запакована, не мала наклейки та захисної плівки."
166,"Чехол так себе, пошит хорошо, но спать на нем не очень приятно, парит. А это и не удивительно, ведь это химия.",Чехол,None,"Незручно спати в чехлі через те, що він парить."
167,"Шукала скляний чайник з категорії малогабаритних в лікарню, та в подальшому для подорожей. Покупкою задоволена. Пишуть в відгуках, що кришка не до кінця відкривається, в мене з цим все ОК
",Скляний чайник малогабаритний,None,Кришка не до кінця відкривається
168,"цікавий смак, новий для мене бренд Гевалія, почитав що один із лідерів у скандинавських країнах а там точно роблять якісно
рекомендую
дякую Розетка за швидку доставку!
","Гевалія, кава","Ні, акції чи знижки немає",None
169,"Спочатку все було добре, але згодом волосся стало набагато сухішим, неслухняним і у спрея з’явився запах як у дешевого старого мила… ",Спрей для волосся,None,Скарга на зміну структури та запаху спрею для волосся
170,"Не беріть цей товар. Інтрукції нема, всі кнопки англійською. Дзвонив на гарячу лінію, у відповідь: «Ми вам відправимо інструкцію у пдф форматі». Зіпсований настрій, витрачений час.
",Не вказано конкретного товару,None,"Зіпсований настрій, витрачений час. Не отримав інструкції для товару після дзвінка на гарячу лінію."
171,"продали бракований товар. Діагностували три тижні. Поветати коштів або обмінювати не хочуть. Не рекомендую даний магазин
",Товар не вказано,None,"Продано бракований товар, відмова в обміні або поверненні коштів"
172,"Клавіатура чудова, дуже якісна механіка. Приємна підсвітка.
Але я дуже розчарований відсутністю оголошеного подарунку у вигляді маніпулятора.
",клавіатура,None,відсутність оголошеного подарунку у вигляді маніпулятора
173,"Гарна якість за ці гроші , чудово підійшов під руль для ігор , відрізав лишнє , та готово ! Продавець швидко його відправив !
",Руль для ігор,None,None
174,"користуємось близько 2-х тижнів. Коли ночі стали прохолодніші, син почав мерзнути під ковдрою (з підковдрою). Доводиться накривати зверху ще флісовою ковдрою.
Брали на зиму, сподівались буде теплішою
",Ковдра,None,"Скарга на те, що ковдра недостатньо тепла"
175,"Часто пропадає вай-фай. Доводиться перезагружати пристрій.В мене двохповерховий будинок -покриття вай-фай на сто відсотків все не покриває. На дворі є сигнал макс до 15 метрів
",Інтернет-сервіс,None,"Часто пропадає вай-фай, доводиться перезагружати пристрій. Покриття вай-фай не покриває 100% двоповерхового будинку, на дворі є сигнал макс до 15 метрів."
176,"Хороший набір, для нашої дитини просто супер. Вньому є зручна корзинка для зберігання, 2 досточки , 2 ножечка і безліч овочів.
",Набір для чищення овочів,None,None
177,"З вигляду клава чудова. Проте є дуже суттєві недоліки.
Вузькі клавіші.не дуже зручно тримати руку під час ігор. Треба дуже звикати
На лакованих поверхнях клава просто ковзає.
Задротам не рекомендую
",Клавіатура,None,"Вузькі клавіші, клавіша ковзає на лакованих поверхнях, не рекомендую для задротам"
178,"якісний сенсор - фліки, наводка усе чудово
гарна градієнтна підсвітка
легка вага, легкий кабель-паракорд - одразу не потрібен підтримувач для дроту за свою ціну для шутерів топова миша! 5/5
",миша гри,None,None
179,"Ось так виглядає крісло через рік, я не дуже важкий 60 кг (якщо це важливо
Але перші пів року було прям дуже зручно
",Крісло,None,"Перші пів року було зручно, але потім стало менш зручним"
180,"На жаль поставляється без батарей - перевірити відразу не можливо.
Колір має бути БІЛИЙ, а надіслано ЧОРНИЙ.
Але , як на мене, чорний навіть кращий.
",Назва товару не вказана,None,Колір товару не відповідає замовленню
181,"дуже сподобались, кращі як на фото , якість шикарна, як б'ють по ногам навіть не чути))) рекомендую!
",Куртки,Ні,None
182,"Не рекомендую брати даний набір краще вже за ті гроші замовити великий сет суші або купити квітів
",Суші,None,Не рекомендую брати даний набір краще за ті гроші замовити великий сет суші або купити квітів
183,"Якість жахлива. Купував окремо простирадло, окремо підковдру, кольора різні при однаковому коді і моделі. Після 2 строк жахливе закошлачення, неможливо спати. Не рекомендую.
",Постільна білизна,None,"Погана якість, закошлачення простирадла та підковдри після 2-х тижнів використання"
184,"Как по мне средний, как пыль, пересыпал в банку, вся кухня в белом порошке, Очень сладкий, с водой пью. С молоком невозможно пить",Цукор,None,"Середній як пісок, пересипав у банку, покрив усю кухню білим пилом, занадто солодкий, важко пити з молоком"
185,"Спочатку все обличчя почервоніло і так тррвало декілька годин. Потім з'явився пухир на всьому носі. Залишився опік, який не сходив 2 тижні
",None,None,"Опис поганого досвіду: обличчя червоніло, з'явився пухир на носі, залишився опік на шкірі протягом 2 тижнів"
186,"Досить приємна кава - зерна цілі, добре обсмажені. Оптимальна суміш робусти та арабіки, насичений смак, гарний аромат, дуже приємний післясмак. Всім раджу каву Jacobs !!!
",кава Jacobs,None,None
187,"Добрий вечір! Замовляла тут навушники, в білому кольорі - достойно виглядають і мають хороший звук. Також доволі швидко заряджаються і довгий час тримають заряд.
",Навушники білого кольору,None,None
188,"Рабоча штука. Коври стірав мотори мив і сковородки і витяжки чистив. Своє одробила ше і в оренду думаю здать.
",Послуга чистки побутової техніки,None,Коври стірали мотори мили і сковородки та витяжки чистили. Негативний досвід через пошкодження речей.
189,"Забрав мишку зразу в перший день начала люфтіть права кнопка миші а так вроді нормально
",Мишка,None,"Скарги на праву кнопку миші, яка луфтає"
190,"Прошу зв'язатися зі мною для урегулювання мого питання повернення коштів (оплата онлайн) або виконання замовлення!
",None,None,зв'язатися зі мною для урегулювання мого питання повернення коштів (оплата онлайн) або виконання замовлення
191,"Якість хороша, алергії немає, ні чим не лірші ха звичайні памрерс чи хагіс, але нам протікають, більше не буду брати
",Памперси,None,Нам протікають
192,"Щойно забрав каву. Ще не куштував. Дуже не сподобалось що упаковка не вакуумна. Оновлю оцінку якщо сподобається на смак.
",Кава,None,Упаковка не вакуумна
193,"Повівся на те що будут ножиці в комплекті як на відео розпаковки та в коментарях людей і купив. По факту їх немає... . Повернути товар не можна....
",Ножиці,None,"Ножиці, про які було в анонсах та відгуках, відсутні в комплекті"
194,"Як на мене нормальний інструмент, для дому те, що потрібно. Шкода, що настадок в комплекті не має.
",Інструмент для дому,None,Настатків не має
195,"Купила подушку MirSon Bambuk 60?60, за 3 місяці вона збилась. Купила цей наповнювач, щоб подушка стала вищою і товстішою.
",Подушка MirSon Bambuk 60?60 з наповнювачем,None,Подушка MirSon Bambuk 60?60 збилась за 3 місяці
196,"пропила майже всю баночку, не відчуваю по собі якихось помітних змін. ну хіба шо не така виснаженість тепер..
",Баначка з енергетичним напоєм,None,Недостатня кількість продукту в упаковці
197,"Після загрузки включаються нулі, і після 5 секунд гасне і не вимірює вагу , не можу звязати, не ревгує , батерейки міняв на дорогі і дешеві!
Чекаю реакції від компанії
",Ваги,None,"Не реагує на вагу, не вимірює вагу, не можу звязати з вагами"
198,"Який клас енергозбереження? Порадьте економну духовку, оскільки на квартиру роздається 5.5 квт на все. Дякую.
",Енергозберігаюча духовка,None,None
199,"З коробки виходить 8 чашок кави, що небагато за свої гроші. Адже всередині 8 капсул з сухими вершками і 8 - з меленою кавою.
",Кава в капсулах,None,Недостатня кількість капсул з кавою у порівнянні зі сухими вершками
200,"Сильно виражений вівсяний смак. Більше не замовлю, адже смак кави взагалі не відчувається з цим молоком. Найкращі в лінійці - кокосове та мигдальне.
",Вівсяне молоко,None,Скарга на сильно виражений вівсяний смак та відсутність смаку кави
201,"При поломці пістолету вийшла помилка, Розетки поклали інший гарантійний від іншого пістолету і в результаті неможливо було відремонтувати пристрій
",Пістолет,None,Питання з гарантійними деталями при ремонті пістолету
202,"Звук хороший, трохи погано налаштовані високі частоти(на максимальній гучності шиплять), а в цілому все на тверду 4! Як гарнітура не дуже - співрозмовник погано чує вас.
",Гарнітура,None,Трохи погано налаштовані високі частоти на максимальній гучності шиплять
203,"Купили по акції і купились на crema , висновки:пінка не дуже зразу осідає,і смак в порівнянні з іншими ambassador для мене ця найгірша
",Крема,Купили по акції,"Не дуже зразу осідає піна, смак гірший за інші амбасадори"
204,"Зручно контролювати тиск по манометру і подовжувач стався у нагоді коли треба було підкачати колеса на гіроборді.
",Подовжувач для помпового насоса,None,None
205,"заказ прийшов дуже швидко. Ждала з ненерпінням, і розчарувалась... кришка зверху потерта , пакети з комплектуючими розірвані . Неприємно, мягко кажучи ...
",Не вказано,None,"Кришка зверху потерта, пакети з комплектуючими розірвані"
206,"Кабель як кабель, купив два, поки що використав один - гут. Винт працює.
Довжина мабуть 30см, так що якщо до верхніх карманів АТХ може не дотягнутися.
",Кабель,None,Може не дотягнутися до верхніх карманів АТХ
207,"Через певний час, почав несамовито шипіти мікрофон, переустановлював драйвера на самі нові, не допомагало, повернув на обмін, чекаю що буде далі
",Мікрофон,Повернув на обмін,"Несамовите шипіння мікрофона, несправність"
208,"Дезодорант приїхав у відділення без упаковки. Відкритий. Це засіб індивідуальної гігієни й така ситуація не припустима.
",Дезодорант,None,Товар приїхав без упаковки та відкритий
209,"Картридж дійсно підходить під глечик Аквафор. Але якщо В100-6 нам на сім'ю вистачало на 4 тижні, то цього картриджу вистачає на 2 тижні. Невигідно виходить...
",Картридж для глечика Аквафор,None,Невигідна кількість картриджів на сім'ю
210,"якщо чесно то дуже спорний варіант бо і комплект не повний так і вага цієї миші дозволяе використовувати її як зброю.
",Миша комп'ютерна,None,"Якість миші не відповідає вартості, дозволяє використовувати як зброю"
211,"Папки не з тонкого картону, нормальні. Вагалась чи брати 50 шт, оскільки на сайті на папці написано ""папка для бумаг"" , а отримала з написом ""папка для паперів"" . Супер.
",Папки,None,Напис на папці не відповідає опису на сайті
212,"Провід землі у плоского кабелю повинен бути розташований між нулем і фазою для меншого нагрівання і безпеки.
",Плоский кабель,None,"Провід землі у плоского кабелю повинен бути розташований між нулем і фазою для меншого нагрівання і безпеки, тому вказаний кабель не відповідає вимогам безпеки"
213,"Аромат приємний, ніжний. І квітковий, але і свіжий. На літо підходить. Купляла тестер, ще й по акційній ціні, так що покупкою задоволена.
",Аромат,Купляла тестер по акційній ціні,None
214,"Чудовий універсальний кабель, можна зарядити практично що завгодно від чого завгодно. Проте перехідника lighning вистачило лише на три місяці, зовсім перестав заряджати. За три місяці ставлю три зірки…
",Універсальний кабель для зарядки,None,Перехідник Lightning перестав заряджати через 3 місяці
215,"Хороший тример, стриже добре. Нерве волосся, гостріножі,удобно найбільша насадка має 21мм.
Серед недоліків батареї хватає на 2 максімум стрижки, і коли включена на зарядці то неможна стригти.голосно робить
",Тример,None,"Зарядка недоступна під час стрижки, батарея швидко розряджається"
216,"Неадекватні нечитабельні показники пульс взагалі неадекват, сатурація в одному положенні можна розгледіти тільки першу цифру тобто 9 друга просто світиться вся
",Пульсоксиметр,None,Неадекватні показники пульсу та нечітка інформація про сатурацію
217,"Купували перший раз,щоб підібрати для малюка. В наборі були Evy Baby, Bella Baby Happy, Libero та Pampers. Libero отримує 3 по п'ятибальній системі,але вибір за вами.
","Набір для малюка з марками Evy Baby, Bella Baby Happy, Libero та Pampers",None,None
218,"Має всі потрібні функції, працює чітко. Не треба з собою брати подовжувач і таскати шнур.
",Зарядний пристрій для ноутбука,None,Відсутність підключення до змінної мережі
219,"Купляла в основному щоб був розумний аналіз тіла , а показує тільки вагу і все.
", scales for body analysis,None,"Не задовольнила функціональність аналізу тіла, показує лише вагу"
